Comune;pH;Conducibilità [µS/cm];Residuo secco a 180° [mg/l];Durezza Totale [°f];Bicarbonato (HCO3) [mg/l];Calcio (Ca) [mg/l];Magnesio (Mg) [mg/l];Sodio (Na) [mg/l];Potassio (K) [mg/l];Cloruri (Cl) [mg/l];Fluoruri (F) [mg/l];Nitrati (NO3) [mg/l];Solfati (SO4) [mg/l];Ammonio (NH4) [mg/l];Nitriti (NO2) [mg/l];Arsenico (As) [µg/l];Cromo (Cr)  [µg/l];Manganese (Mn) [µg/l];Microiquinanti tot [µg/l];Solventi Clorurati tot [µg/l];Tricloro + Tetracloroetilene [µg/l];Escherichia Coli [UFC/100ml];Enterococchi [UFC/100ml];Batteri Coliformi a 37°C [UFC/100ml]
limiti DL 31/01;6,5-9,5;2500;1500;50;;;;200;;250;1,5;50;250;0,5;0,5;10;50;50;0,5;30;10;0;0;0
ABBIATEGRASSO;7,63;399;291;21;289;60;13;5;1;6;< 0,3;17;22;< 0,1;< 0,02;1;< 5;< 5;0,06;< 1;< 1;0;0;0
ALBAIRATE;7,70;411;297;21;326;62;13;4;< 1;5;< 0,3;17;14;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
ARCONATE;7,83;430;310;22;302;64;15;8;1;14;< 0,3;18;16;< 0,1;< 0,02;1;< 5;< 5;< 0,02;2;< 1;0;0;0
ARESE;7,71;387;283;19;307;55;11;8;< 1;16;< 0,3;33;27;< 0,1;< 0,02;< 1;5;< 5;< 0,02;2;< 1;0;0;0
ARLUNO;7,70;562;406;29;340;84;19;10;2;17;< 0,3;34;35;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;3;< 1;0;0;0
ASSAGO;7,87;289;218;14;260;41;10;6;< 1;< 5;< 0,3;7;17;< 0,1;< 0,02;2;< 5;< 5;< 0,02;4;< 1;0;0;0
BARANZATE;7,70;397;286;20;275;57;14;6;< 1;17;< 0,3;40;31;< 0,1;< 0,02;< 1;8;< 5;< 0,02;3;< 1;0;0;0
BAREGGIO;7,60;524;378;27;319;78;18;7;2;18;< 0,3;31;41;< 0,1;0,0;< 1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
BASIANO;7,70;438;316;23;311;61;19;6;< 1;12;< 0,3;31;17;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
BASIGLIO;7,86;307;236;16;286;45;11;7;< 1;< 5;< 0,3;< 5;12;< 0,1;< 0,02;2;< 5;< 5;0,02;5;< 1;0;0;0
BELLINZAGO LOMBARDO;7,44;598;432;31;442;89;22;8;1;17;< 0,3;37;30;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
BERNATE TICINO;7,70;481;347;25;308;73;16;5;1;25;< 0,3;24;31;< 0,1;< 0,02;< 1;< 5;< 5;0,03;5;< 1;0;0;0
BESATE;7,50;372;272;18;214;53;12;5;1;< 5;< 0,3;13;41;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
BINASCO;7,78;381;275;21;310;60;13;5;1;< 5;< 0,3;< 5;30;< 0,1;0,06;< 1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
BOFFALORA SOPRA TICINO;7,67;408;294;21;313;61;14;7;1;9;< 0,3;19;15;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
BOLLATE;7,91;274;207;14;221;41;8;5;< 1;8;< 0,3;23;11;< 0,1;< 0,02;1;5;< 5;< 0,02;2;1;0;0;0
BRESSO;7,47;620;448;31;323;97;16;12;2;29;< 0,3;41;43;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;3;2;0;0;0
BUBBIANO;7,60;380;274;20;309;56;13;4;< 1;6;< 0,3;6;14;< 0,1;< 0,02;< 1;< 5;< 5;0,06;< 1;< 1;0;0;0
BUCCINASCO;7,84;388;283;20;291;56;14;8;< 1;11;< 0,3;15;26;< 0,1;< 0,02;< 1;< 5;< 5;0,06;2;2;0;0;0
BUSCATE;7,66;497;359;25;319;72;16;7;1;26;< 0,3;22;24;< 0,1;< 0,02;< 1;< 5;< 5;0,02;7;< 1;0;0;0
BUSSERO;7,45;637;460;31;395;91;21;16;2;26;< 0,3;27;35;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;1;< 1;0;0;0
BUSTO GAROLFO;7,80;431;312;22;305;62;15;6;1;15;< 0,3;26;21;< 0,1;< 0,02;1;< 5;< 5;< 0,02;6;4;0;0;0
CALVIGNASCO;7,70;375;271;19;278;56;13;4;< 1;< 5;< 0,3;9;12;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
CAMBIAGO;7,60;514;370;28;308;76;21;6;< 1;11;< 0,3;26;23;< 0,1;< 0,02;< 1;< 5;6;0,02;4;< 1;0;0;0
CANEGRATE;7,76;354;258;20;262;57;13;5;1;7;< 0,3;18;11;< 0,1;< 0,02;2;< 5;< 5;< 0,02;2;< 1;0;0;0
CARPIANO;7,80;436;322;23;315;72;11;7;3;11;< 0,3;7;35;< 0,1;< 0,02;1;< 5;< 5;0,02;< 1;< 1;0;0;0
CARUGATE;7,47;617;446;28;442;83;19;18;1;27;< 0,3;27;32;< 0,1;< 0,02;< 1;< 5;< 5;0,02;1;< 1;0;0;0
CASARILE;7,80;389;280;20;318;59;13;4;1;< 5;< 0,3;< 5;30;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
CASOREZZO;7,80;392;283;21;262;61;15;5;1;7;< 0,3;19;14;< 0,1;< 0,02;1;< 5;< 5;< 0,02;1;1;0;0;0
CASSANO D'ADDA;7,68;428;310;23;288;63;17;6;1;9;< 0,3;22;27;< 0,1;< 0,02;1;< 5;< 5;0,06;2;1;0;0;0
CASSINA DE' PECCHI;7,43;337;244;17;254;49;11;7;1;13;< 0,3;14;19;< 0,1;0,02;< 1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
CASSINETTA DI LUGAGNANO;7,57;458;330;25;294;71;16;5;< 1;9;< 0,3;27;30;< 0,1;0,04;< 1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
CASTANO PRIMO;7,75;386;281;20;291;57;12;7;< 1;10;< 0,3;23;14;< 0,1;< 0,02;1;< 5;< 5;< 0,02;3;2;0;0;0
CASTELLANZA;7,84;284;215;15;255;43;9;9;1;5;< 0,3;12;14;< 0,1;< 0,02;3;< 5;< 5;< 0,02;< 1;< 1;0;0;0
CERNUSCO SUL NAVIGLIO;7,51;597;431;30;351;85;20;12;2;22;< 0,3;24;33;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;2;2;0;0;0
CERRO AL LAMBRO;7,80;346;256;19;296;55;11;7;1;< 5;< 0,3;< 5;13;< 0,1;< 0,02;2;< 5;< 5;< 0,02;< 1;< 1;0;0;0
CERRO MAGGIORE;7,85;372;276;19;279;56;12;6;1;8;< 0,3;20;11;< 0,1;< 0,02;2;< 5;< 5;< 0,02;1;1;0;0;0
CESANO BOSCONE;7,67;468;338;23;292;64;17;10;1;16;< 0,3;23;28;< 0,1;< 0,02;< 1;< 5;< 5;0,07;4;3;0;0;0
CESATE;7,89;302;226;14;206;43;8;6;< 1;11;< 0,3;29;13;< 0,1;< 0,02;1;< 5;< 5;< 0,02;1;1;0;0;0
CINISELLO BALSAMO;7,18;504;365;26;311;80;14;9;< 1;17;< 0,3;31;27;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;1;2;0;0;0
CISLIANO;7,64;508;367;26;288;75;18;5;1;14;< 0,3;32;37;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;3;2;0;0;0
COLOGNO MONZESE;7,49;639;462;30;432;87;20;19;2;34;< 0,3;29;35;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;3;2;0;0;0
COLTURANO;7,50;594;429;26;403;75;17;22;2;17;< 0,3;15;45;< 0,1;< 0,02;1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
CORBETTA;7,64;542;392;29;342;83;20;5;< 1;14;< 0,3;37;37;< 0,1;< 0,02;< 1;8;< 5;< 0,02;2;1;0;0;0
CORMANO;7,60;562;406;24;314;74;13;23;2;26;< 0,3;35;45;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;3;< 1;0;0;0
CORNAREDO;7,79;274;208;14;237;43;7;6;< 1;< 5;< 0,3;10;< 5;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
CORSICO;7,70;552;399;28;241;80;20;7;1;29;< 0,3;23;38;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
CUGGIONO;7,70;602;435;29;268;84;20;19;3;37;< 0,3;32;42;< 0,1;< 0,02;< 1;11;< 5;< 0,02;4;< 1;0;0;0
CUSAGO;7,73;453;326;24;295;67;16;5;1;14;< 0,3;22;31;< 0,1;< 0,02;< 1;7;< 5;< 0,02;4;4;0;0;0
CUSANO MILANINO;7,57;564;409;28;292;88;14;11;2;25;< 0,3;36;37;< 0,1;< 0,02;< 1;< 5;< 5;0,03;2;2;0;0;0
DAIRAGO;7,60;562;406;28;300;81;19;6;1;30;< 0,3;35;31;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;2;< 1;0;0;0
DRESANO;7,60;580;419;29;309;83;18;18;2;18;< 0,3;17;38;< 0,1;0,03;< 1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
GAGGIANO;7,81;443;320;23;279;67;15;4;1;13;< 0,3;18;33;< 0,1;< 0,02;< 1;8;< 5;< 0,02;5;4;0;0;0
GARBAGNATE MILANESE;7,86;236;181;12;214;34;7;7;< 1;7;< 0,3;17;8;< 0,1;< 0,02;2;< 5;< 5;< 0,02;< 1;< 1;0;0;0
GESSATE;7,47;554;400;28;375;84;18;8;1;14;< 0,3;33;25;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
GORGONZOLA;7,45;611;441;33;372;96;21;9;1;17;< 0,3;30;31;< 0,1;< 0,02;< 1;< 5;< 5;0,03;< 1;< 1;0;0;0
GREZZAGO;7,70;401;289;21;284;52;20;5;< 1;10;< 0,3;30;17;< 0,1;< 0,02;< 1;< 5;< 5;0,06;< 1;< 1;0;0;0
GUDO VISCONTI;7,60;452;326;22;293;64;14;4;< 1;11;< 0,3;15;32;< 0,1;< 0,02;< 1;< 5;< 5;0,16;< 1;< 1;0;0;0
INVERUNO;7,79;427;308;23;242;66;15;4;1;11;< 0,3;25;14;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;3;1;0;0;0
INZAGO;7,53;546;395;29;365;83;20;5;< 1;11;< 0,3;31;27;< 0,1;< 0,02;< 1;< 5;< 5;0,08;< 1;< 1;0;0;0
LACCHIARELLA;7,81;366;266;19;260;56;13;6;< 1;< 5;< 0,3;< 5;18;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
LAINATE;6,96;371;269;18;252;56;10;6;< 1;15;< 0,3;32;22;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;2;< 1;0;0;0
LEGNANO;7,62;467;338;24;331;69;17;7;1;13;< 0,3;33;20;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
LISCATE;7,50;529;382;28;359;78;20;5;1;13;< 0,3;23;30;< 0,1;< 0,02;< 1;< 5;< 5;0,02;3;1;0;0;0
LOCATE DI TRIULZI;7,75;525;378;27;341;79;16;12;1;16;< 0,3;15;69;< 0,1;0,04;2;< 5;6;< 0,02;< 1;< 1;0;0;0
MAGENTA;7,78;448;326;24;292;68;17;5;1;9;< 0,3;29;22;< 0,1;< 0,02;< 1;< 5;< 5;0,04;2;2;0;0;0
MAGNAGO;7,64;520;376;25;302;73;18;9;< 1;12;< 0,3;39;28;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
MARCALLO CON CASONE;7,74;458;331;24;318;69;16;7;1;10;< 0,3;30;25;< 0,1;< 0,02;< 1;< 5;< 5;0,02;1;1;0;0;0
MASATE;7,69;360;264;19;348;46;17;7;< 1;6;< 0,3;6;8;< 0,1;< 0,02;1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
MEDIGLIA;7,66;469;339;27;312;75;21;9;1;12;< 0,3;7;29;< 0,1;0,04;1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
MELEGNANO;7,80;255;196;13;215;35;10;6;2;< 5;< 0,3;< 5;< 5;< 0,1;< 0,02;3;< 5;< 5;< 0,02;< 1;< 1;0;0;0
MELZO;7,63;472;340;25;337;74;17;5;1;8;< 0,3;20;27;< 0,1;< 0,02;< 1;< 5;< 5;0,04;< 1;< 1;0;0;0
MESERO;7,70;387;279;20;250;59;14;5;1;7;< 0,3;20;13;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;2;2;0;0;0
MORIMONDO;7,60;365;263;19;275;57;13;4;1;< 5;< 0,3;9;16;< 0,1;< 0,02;2;< 5;< 5;0,06;< 1;< 1;0;0;0
MOTTA VISCONTI;7,47;373;270;19;255;57;12;6;1;6;< 0,3;11;34;< 0,1;< 0,02;< 1;< 5;25;< 0,02;< 1;< 1;0;0;0
NERVIANO;7,76;400;291;21;272;60;13;8;1;10;< 0,3;23;13;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;4;4;0;0;0
NOSATE;7,64;598;434;26;337;76;17;23;2;56;< 0,3;13;37;< 0,1;< 0,02;1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
NOVATE MILANESE;7,68;484;349;24;242;71;14;14;1;18;< 0,3;34;39;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;6;< 1;0;0;0
NOVIGLIO;7,52;383;280;21;355;61;13;5;1;< 5;< 0,3;< 5;25;< 0,1;< 0,02;< 1;< 5;85;< 0,02;< 1;< 1;0;0;0
OPERA;7,73;564;411;28;350;88;15;17;2;18;< 0,3;22;63;< 0,1;0,02;< 1;< 5;< 5;0,07;4;3;0;0;0
OSSONA;7,70;414;298;20;256;58;14;5;1;8;< 0,3;25;15;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;4;3;0;0;0
OZZERO;7,52;288;222;15;234;45;9;4;< 1;7;< 0,3;15;31;< 0,1;< 0,02;< 1;< 5;< 5;0,08;< 1;< 1;0;0;0
PADERNO DUGNANO;7,65;612;442;28;317;89;14;21;2;28;< 0,3;34;54;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;2;2;0;0;0
PANTIGLIATE;7,65;459;333;23;326;61;18;8;1;10;< 0,3;12;21;< 0,1;< 0,02;1;< 5;< 5;< 0,02;3;< 1;0;0;0
PARABIAGO;7,82;396;286;21;279;60;13;8;1;10;< 0,3;24;15;< 0,1;< 0,02;2;< 5;< 5;< 0,02;< 1;< 1;0;0;0
PAULLO;7,73;407;293;20;307;55;17;5;1;< 5;< 0,3;6;12;< 0,1;< 0,02;2;< 5;< 5;< 0,02;2;2;0;0;0
PERO;7,73;382;279;19;210;57;11;8;< 1;23;< 0,3;27;26;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;4;< 1;0;0;0
PESCHIERA BORROMEO;7,76;405;292;22;325;61;16;6;< 1;7;< 0,3;11;28;< 0,1;< 0,02;< 1;< 5;< 5;0,03;6;2;0;0;0
PESSANO CON BORNAGO;7,35;632;456;31;457;91;19;15;2;25;< 0,3;26;33;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
PIEVE EMANUELE;7,82;235;179;12;234;36;8;6;< 1;< 5;< 0,3;< 5;10;< 0,1;< 0,02;2;< 5;< 5;< 0,02;< 1;< 1;0;0;0
PIOLTELLO;7,70;450;325;24;330;71;16;6;1;9;< 0,3;17;35;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;2;< 1;0;0;0
POGLIANO MILANESE;7,70;545;395;27;267;77;18;10;2;16;< 0,3;30;21;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;2;2;0;0;0
POZZO D'ADDA;7,65;451;326;23;347;59;19;8;< 1;12;< 0,3;28;18;< 0,1;< 0,02;2;< 5;< 5;< 0,02;< 1;< 1;0;0;0
POZZUOLO MARTESANA;7,70;451;324;23;298;62;18;7;1;8;< 0,3;14;16;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;3;< 1;0;0;0
PREGNANA MILANESE;7,80;365;263;19;260;55;12;6;1;13;< 0,3;18;13;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;1;1;0;0;0
RESCALDINA;7,69;508;369;26;325;76;18;9;2;12;< 0,3;28;16;< 0,1;< 0,02;< 1;< 5;< 5;0,05;< 1;< 1;0;0;0
RHO;7,71;404;297;20;280;60;12;9;< 1;19;< 0,3;32;26;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;4;< 1;0;0;0
ROBECCHETTO CON INDUNO;7,70;445;321;22;336;63;15;10;1;13;< 0,3;22;22;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;1;1;0;0;0
ROBECCO SUL NAVIGLIO;7,71;449;323;24;321;67;16;6;1;9;< 0,3;24;22;< 0,1;< 0,02;< 1;< 5;< 5;0,04;< 1;< 1;0;0;0
RODANO;7,66;452;326;24;314;66;19;5;1;10;< 0,3;17;26;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;5;2;0;0;0
ROSATE;7,71;402;290;20;293;59;14;5;< 1;7;< 0,3;11;17;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;2;2;0;0;0
ROZZANO;7,76;365;269;19;284;54;12;7;< 1;12;< 0,3;< 5;25;< 0,1;0,03;1;< 5;< 5;0,02;4;1;0;0;0
SAN COLOMBANO AL LAMBRO;7,60;388;279;19;238;54;15;13;1;6;< 0,3;< 5;8;< 0,1;0,04;6;< 5;17;< 0,02;< 1;< 1;0;0;0
SAN DONATO MILANESE;7,81;332;248;18;239;47;14;7;1;5;< 0,3;7;13;< 0,1;< 0,02;1;< 5;< 5;< 0,02;2;1;0;0;0
SAN GIORGIO SU LEGNANO;7,80;483;348;25;305;71;17;5;1;17;< 0,3;24;32;< 0,1;< 0,02;< 1;< 5;< 5;0,03;4;2;0;0;0
SAN GIULIANO MILANESE;7,70;319;241;16;258;45;11;9;1;8;< 0,3;6;13;< 0,1;< 0,02;2;< 5;< 5;< 0,02;< 1;< 1;0;0;0
SAN VITTORE OLONA;7,57;598;432;30;366;83;21;9;2;19;< 0,3;34;22;< 0,1;< 0,02;< 1;< 5;< 5;0,03;2;2;0;0;0
SAN ZENONE AL LAMBRO;7,60;531;384;29;357;86;17;7;2;14;< 0,3;9;42;< 0,1;0,03;2;< 5;< 5;< 0,02;< 1;< 1;0;0;0
SANTO STEFANO TICINO;7,70;476;344;25;268;69;18;5;1;11;< 0,3;29;23;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;6;< 1;0;0;0
SEDRIANO;7,51;500;361;25;294;72;16;13;2;15;< 0,3;30;30;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
SEGRATE;7,68;522;377;26;370;76;18;9;1;19;< 0,3;22;39;< 0,1;< 0,02;< 1;< 5;< 5;0,04;3;2;0;0;0
SENAGO;7,66;451;328;22;251;66;12;13;< 1;22;< 0,3;37;29;< 0,1;0,02;< 1;< 5;< 5;< 0,02;2;1;0;0;0
SESTO SAN GIOVANNI;7,46;625;451;32;412;96;20;11;1;25;< 0,3;40;39;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;1;1;0;0;0
SETTALA;7,66;462;333;24;362;65;18;5;< 1;9;< 0,3;15;23;< 0,1;0,06;< 1;< 5;< 5;0,02;2;1;0;0;0
SETTIMO MILANESE;7,87;299;225;15;267;47;8;7;< 1;7;< 0,3;15;10;< 0,1;< 0,02;2;< 5;< 5;< 0,02;2;< 1;0;0;0
SOLARO;7,81;368;271;17;279;52;9;13;< 1;18;< 0,3;33;17;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;1;1;0;0;0
TREZZANO ROSA;7,78;378;275;20;260;49;19;7;< 1;9;< 0,3;22;13;< 0,1;< 0,02;< 1;< 5;< 5;0,03;< 1;< 1;0;0;0
TREZZANO SUL NAVIGLIO;7,70;462;333;24;291;69;16;7;1;12;< 0,3;21;29;< 0,1;< 0,02;< 1;< 5;< 5;0,03;4;4;0;0;0
TREZZO SULL'ADDA;7,77;361;265;20;307;56;14;7;< 1;9;< 0,3;14;27;< 0,1;< 0,02;2;< 5;< 5;< 0,02;4;< 1;0;0;0
TRIBIANO;7,75;436;314;21;297;59;16;7;< 1;9;< 0,3;8;18;< 0,1;< 0,02;1;< 5;< 5;< 0,02;1;< 1;0;0;0
TRUCCAZZANO;7,60;417;301;21;346;60;16;5;< 1;6;< 0,3;16;25;< 0,1;< 0,02;1;< 5;< 5;0,05;< 1;< 1;0;0;0
TURBIGO;7,65;359;260;15;188;45;10;16;< 1;33;< 0,3;16;25;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
VANZAGHELLO;7,70;482;348;25;306;74;15;7;1;14;< 0,3;34;28;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;3;3;0;0;0
VANZAGO;7,70;577;417;28;290;80;19;11;2;18;< 0,3;32;25;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;2;2;0;0;0
VAPRIO D'ADDA;7,73;383;279;20;371;57;15;6;< 1;9;< 0,3;16;28;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;1;< 1;0;0;0
VERMEZZO;7,70;482;348;26;287;75;17;5;< 1;12;< 0,3;21;35;< 0,1;< 0,02;< 1;< 5;< 5;0,09;< 1;< 1;0;0;0
VERNATE;7,64;370;267;19;291;57;12;5;< 1;< 5;< 0,3;< 5;30;< 0,1;0,06;< 1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
VIGNATE;7,56;554;400;29;417;81;22;7;1;16;< 0,3;26;32;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;4;1;0;0;0
VILLA CORTESE;7,82;462;334;25;275;74;16;7;1;18;< 0,3;32;25;< 0,1;0,03;< 1;< 5;< 5;< 0,02;2;< 1;0;0;0
VIMODRONE;7,41;655;473;31;407;86;22;15;2;31;< 0,3;29;40;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;2;2;0;0;0
VITTUONE;7,70;412;298;21;329;61;15;5;2;9;< 0,3;14;16;< 0,1;< 0,02;2;5;< 5;< 0,02;3;2;0;0;0
VIZZOLO PREDABISSI;7,60;588;425;30;353;92;17;12;2;18;< 0,3;17;43;< 0,1;< 0,02;< 1;< 5;< 5;0,03;< 1;< 1;0;0;0
ZELO SURRIGONE;7,70;482;348;26;287;75;17;5;< 1;12;< 0,3;21;35;< 0,1;< 0,02;< 1;< 5;< 5;0,09;< 1;< 1;0;0;0
ZIBIDO SAN GIACOMO;7,79;433;314;23;331;67;15;5;1;7;< 0,3;< 5;23;< 0,1;0,06;< 1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
