alias_address,alias_city,geocode,geometry,georeferencingString
Capoluogo,Fonte</strong> <br />,"Fonte, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [11.8797317, 45.7889908]}",Fonte TV
Villa d\'Asolo,Asolo</strong> <br />,"Asolo, 9, Via Castellana, Sant'Apollinare, Cà Giupponi, Asolo, Treviso, Veneto, 31011, Italia",,Asolo  Villa d\'Asolo
Zona San Pio X,Treviso</strong> <br />,"Collegio Vescovile ""Pio X"", 40, Borgo Cavour, Area Appiani, Borgo Mestre, Treviso, Veneto, 31100, Italia",,Treviso   San Pio X
Saletto e San Bartolomeo,Breda di Piave</strong> <br />,Breda di Piave  Saletto e San Bartolomeo,,Breda di Piave  Saletto e San Bartolomeo
Fornea,Caerano di San Marco</strong> <br />,Caerano di San Marco  Fornea,,Caerano di San Marco  Fornea
Zona industriale,Caerano di San Marco</strong> <br />,Caerano di San Marco   industriale,,Caerano di San Marco   industriale
Baratti,Crespano del Grappa</strong> <br />,Crespano del Grappa  Baratti,,Crespano del Grappa  Baratti
Santa Lucia,Crespano del Grappa</strong> <br />,,,Crespano del Grappa  Santa Lucia
Moriago della Batt.,Moriago della Battaglia</strong> <br />,,,Moriago della Battaglia  Moriago della Batt.
San Liberale,Paderno del Grappa</strong> <br />,,,Paderno del Grappa  San Liberale
Refrontolo (intero territorio),Refrontolo</strong> <br />,,,Refrontolo  Refrontolo (intero territorio)
Milies & Stramare,Segusino</strong> <br />,,,Segusino  Milies & Stramare
San Pelajo,Treviso</strong> <br />,,,Treviso  San Pelajo
Onè,Fonte</strong> <br />,"Onè di Fonte, Treviso, Veneto, 31011, Italia","{'type': 'Point', 'coordinates': [11.8683553, 45.7850915]}", Onè di Fonte TV
Quero,Quero,"Quero, Belluno, Veneto, 32038, Italia","{'type': 'Point', 'coordinates': [11.9307956, 45.9210286]}",Quero BL
Capoluogo,Vidor</strong> <br />,"Vidor, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [12.0387488, 45.8616409]}",Vidor TV
Sant\'Eulalia,Borso del Grappa</strong> <br />,Borso del Grappa  Sant'Eulalia,"{'type': 'Point', 'coordinates': [11.816406, 45.8183974]}",Borso del Grappa  Sant\'Eulalia
Zuè di Qua,Cison di Valmarino</strong> <br />,"Zuel di Qua, Cison di Valmarino, Treviso, Veneto, 31051, Italia","{'type': 'Point', 'coordinates': [12.1675102, 45.9581801]}",Cison di Valmarino  Zuel di Qua
Crespignana,Maser</strong> <br />,"Crespignaga, Treviso, Veneto, 31011, Italia","{'type': 'Point', 'coordinates': [11.9434659, 45.7963275]}",Maser  Crespignaga
Sant\'Andrea,Montebelluna</strong> <br />,"Sant'Andrea, Montebelluna, Treviso, Veneto, 31030, Italia","{'type': 'Point', 'coordinates': [12.0353097, 45.7530058]}",Montebelluna  Sant'Andrea
Nervesa d. B.,Nervesa della Battaglia</strong> <br />,"Nervesa della Battaglia, Treviso, Veneto, 31020, Italia","{'type': 'Point', 'coordinates': [12.2092015, 45.8253685]}",Nervesa della Battaglia
Sant\'Angelo,Treviso</strong> <br />,"Treviso/Sant'Angelo, Via della Moncia, Canizzano, Treviso, Veneto, 31055, Italia","{'type': 'Point', 'coordinates': [12.1869502, 45.6448537]}",Treviso  Sant'Angelo
Sant\'Antonino,Treviso</strong> <br />,"Sant'Antonino, Treviso, Veneto, 31100, Italia","{'type': 'Point', 'coordinates': [12.2662877, 45.6467802]}",Treviso  Sant'Antonino
Colbertando,Vidor</strong> <br />,"Colbertaldo, Treviso, Veneto, 31049, Italia","{'type': 'Point', 'coordinates': [12.0453782, 45.8773709]}",Vidor  Colbertaldo
Capoluogo,Alano di Piave</strong> <br />,"Alano di Piave, Belluno, Veneto, 32031, Italia","{'type': 'Point', 'coordinates': [11.9081948, 45.907803]}",Alano di Piave
Zona Campo,Alano di Piave</strong> <br />,"Alano di Piave, Belluno, Veneto, 32031, Italia","{'type': 'Point', 'coordinates': [11.9081948, 45.907803]}",Alano di Piave   Campo
Zona Colmirano,Alano di Piave</strong> <br />,"Colmirano, Belluno, Veneto, 32031, Italia","{'type': 'Point', 'coordinates': [11.9157863, 45.9125142]}",Alano di Piave   Colmirano
Zona Fener,Alano di Piave</strong> <br />,"Fener, Belluno, Veneto, 32038, Italia","{'type': 'Point', 'coordinates': [11.9416555, 45.9047144]}",Alano di Piave   Fener
Capoluogo,Altivole</strong> <br />,"Altivole, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9553621, 45.7540029]}",Altivole
Caselle,Altivole</strong> <br />,"Caselle di Altivole, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9726933, 45.7427]}",Altivole  Caselle
Edificio,Altivole</strong> <br />,"Via Edificio, Artesini, Altivole, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9844415, 45.733826]}",Altivole  Edificio
San Vito,Altivole</strong> <br />,"Canale Ex di San Vito, Altivole, Treviso, Veneto, 31011, Italia","{'type': 'Point', 'coordinates': [11.9511095, 45.7704965]}",Altivole  San Vito
Capoluogo,Arcade</strong> <br />,"Arcade, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [12.2194084, 45.7844916]}",Arcade
Fonfa,Arcade</strong> <br />,"Via Fonfa, Madonnetta, Arcade, Treviso, Veneto, 31027, Italia","{'type': 'Point', 'coordinates': [12.2416957, 45.7724379]}",Arcade  Fonfa
Capoluogo,Asolo</strong> <br />,"Asolo, Treviso, Veneto, 31011, Italia","{'type': 'Point', 'coordinates': [11.9142444, 45.8007265]}",Asolo
Casella,Asolo</strong> <br />,"Casella d'Asolo, Treviso, Veneto, 31011, Italia","{'type': 'Point', 'coordinates': [11.9174559, 45.7892733]}",Asolo  Casella
Pagnano,Asolo</strong> <br />,"Pagnano, Asolo, Treviso, Veneto, 31011, Italia","{'type': 'Point', 'coordinates': [11.8934577, 45.8039731]}",Asolo  Pagnano
Villaraspa,Asolo</strong> <br />,"Villaraspa, Asolo, Treviso, Veneto, 31011, Italia","{'type': 'Point', 'coordinates': [11.9369243, 45.7692914]}",Asolo  Villaraspa
Borso,Borso del Grappa</strong> <br />,"Borso del Grappa, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [11.7993161, 45.8210248]}",Borso del Grappa  Borso
Cassanego,Borso del Grappa</strong> <br />,"Cassanego, Treviso, Veneto, 31017, Italia","{'type': 'Point', 'coordinates': [11.8095778, 45.8297434]}",Borso del Grappa  Cassanego
Semonzo,Borso del Grappa</strong> <br />,"Via Giovanni Da Semonzo, Cenghia, Borso del Grappa, Treviso, Veneto, 36022, Italia","{'type': 'Point', 'coordinates': [11.7710515, 45.8110521]}",Borso del Grappa  Semonzo
Breda Centro,Breda di Piave</strong> <br />,"Breda di Piave, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [12.3310214, 45.7245474]}",Breda di Piave  Breda Centro
Pero,Breda di Piave</strong> <br />,"Pero, Breda di Piave, Treviso, Veneto, 31048, Italia","{'type': 'Point', 'coordinates': [12.3492595, 45.7050925]}",Breda di Piave  Pero
Vacil,Breda di Piave</strong> <br />,"Vacil, Treviso, Veneto, 31048, Italia","{'type': 'Point', 'coordinates': [12.3119064, 45.7071744]}",Breda di Piave  Vacil
Caerano,Caerano di San Marco</strong> <br />,"Caerano di San Marco, Treviso, Veneto, 31031, Italia","{'type': 'Point', 'coordinates': [12.0010378, 45.7859102]}",Caerano di San Marco  Caerano
Capoluogo,Carbonera</strong> <br />,"Carbonera, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [12.2859442, 45.6848378]}",Carbonera
Capoluogo,Castelcucco</strong> <br />,"Castelcucco, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [11.8839691, 45.8333237]}",Castelcucco
Castelfranco,Castelfranco Veneto</strong> <br />,"Castelfranco Veneto, Via N. Melchiori, Cartiera, Castelfranco Veneto, Treviso, Veneto, 31033, Italia","{'type': 'Point', 'coordinates': [11.9339221, 45.6665902]}",Castelfranco Veneto  Castelfranco
Salvarosa,Castelfranco Veneto</strong> <br />,"Salvarosa, Castelfranco Veneto, Treviso, Veneto, 31033, Italia","{'type': 'Point', 'coordinates': [11.9497922, 45.6729934]}",Castelfranco Veneto  Salvarosa
Salvatronda,Castelfranco Veneto</strong> <br />,"Salvatronda, Treviso, Veneto, 31033, Italia","{'type': 'Point', 'coordinates': [11.9757251, 45.675472]}",Castelfranco Veneto  Salvatronda
San Floriano,Castelfranco Veneto</strong> <br />,"Via Postioma di San Floriano, Castelfranco Veneto, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9706431, 45.687748]}",Castelfranco Veneto  San Floriano
Treville,Castelfranco Veneto</strong> <br />,"Treville, Treviso, Veneto, 31033, Italia","{'type': 'Point', 'coordinates': [11.9093597, 45.6538665]}",Castelfranco Veneto  Treville
Capoluogo,Castello di Godego</strong> <br />,"Castello di Godego, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [11.8810438, 45.6923801]}",Castello di Godego
Castelcies,Cavaso del Tomba</strong> <br />,"Castelcies, Cavaso del Tomba, Treviso, Veneto, 31034, Italia","{'type': 'Point', 'coordinates': [11.9205699, 45.8477507]}",Cavaso del Tomba  Castelcies
Capoluogo,Cavaso del Tomba</strong> <br />,"Cavaso del Tomba, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9089805, 45.8583996]}",Cavaso del Tomba
Pieve,Cavaso del Tomba</strong> <br />,"Pieve, Cavaso del Tomba, Treviso, Veneto, 31034, Italia","{'type': 'Point', 'coordinates': [11.911048, 45.8674646]}",Cavaso del Tomba  Pieve
Cison,Cison di Valmarino</strong> <br />,"Cison di Valmarino, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [12.1431366, 45.9699873]}",Cison di Valmarino  Cison
Tovena,Cison di Valmarino</strong> <br />,"Tovena, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [12.1750508, 45.9792688]}",Cison di Valmarino  Tovena
Capoluogo,Cornuda</strong> <br />,"Cornuda, Treviso, Veneto, 31041, Italia","{'type': 'Point', 'coordinates': [12.0076655, 45.8317308]}",Cornuda
Fornaci Fagarè,Cornuda</strong> <br />,"Fornaci del Fagarè, Via Bosco del Fagarè, Villaraspa, Cornuda, Treviso, Veneto, 31041, Italia","{'type': 'Point', 'coordinates': [11.974668772510626, 45.841848999999996]}",Cornuda  Fornaci Fagarè
Villaraspa,Cornuda</strong> <br />,"Villaraspa, Cornuda, Treviso, Veneto, 31041, Italia","{'type': 'Point', 'coordinates': [11.9998422, 45.8471826]}",Cornuda  Villaraspa
Capoluogo,Crespano del Grappa</strong> <br />,"Crespano del Grappa, Treviso, Veneto, 31017, Italia","{'type': 'Point', 'coordinates': [11.8401026, 45.8287801]}",Crespano del Grappa
Madonna del Covolo,Crespano del Grappa</strong> <br />,"Via Madonna del Covolo, Canil, Pieve del Grappa, Treviso, Veneto, 31017, Italia","{'type': 'Point', 'coordinates': [11.8368779, 45.8315578]}",Crespano del Grappa  Madonna del Covolo
Ciano,Crocetta del Montello</strong> <br />,"Ciano del Montello, Treviso, Veneto, 31035, Italia","{'type': 'Point', 'coordinates': [12.0555147, 45.8252699]}",Crocetta del Montello  Ciano
Nogarè,Crocetta del Montello</strong> <br />,"Nogarè, Crocetta del Montello, Treviso, Veneto, 31041, Italia","{'type': 'Point', 'coordinates': [12.018963, 45.8232539]}",Crocetta del Montello  Nogarè
Crocetta del Montello,Crocetta del Montello </strong> <br />,"Crocetta del Montello, Treviso, Veneto, 31035, Italia","{'type': 'Point', 'coordinates': [12.0323268, 45.8339959]}",Crocetta del Montello   Crocetta del Montello
Borgo Grotta,Farra di Soligo</strong> <br />,"Borgo Grotta, Farra di Soligo, Treviso, Veneto, 31051, Italia","{'type': 'Point', 'coordinates': [12.1193217, 45.9107463]}",Farra di Soligo  Borgo Grotta
Col San Martino,Farra di Soligo</strong> <br />,"Col San Martino, Treviso, Veneto, 31010, Italia","{'type': 'Point', 'coordinates': [12.0857457, 45.8944326]}",Farra di Soligo  Col San Martino
Capoluogo,Farra di Soligo</strong> <br />,"Farra di Soligo, Treviso, Veneto, 31053, Italia","{'type': 'Point', 'coordinates': [12.1254301, 45.9053812]}",Farra di Soligo
Soligo,Farra di Soligo</strong> <br />,"Soligo, Treviso, Veneto, 31010, Italia","{'type': 'Point', 'coordinates': [12.1550612, 45.9127925]}",Farra di Soligo  Soligo
Capoluogo,Follina</strong> <br />,"Follina, Treviso, Veneto, 31051, Italia","{'type': 'Point', 'coordinates': [12.119604, 45.951609]}",Follina
Pedeguarda,Follina</strong> <br />,"Pedeguarda, Follina, Treviso, Veneto, 31053, Italia","{'type': 'Point', 'coordinates': [12.1523353, 45.9279513]}",Follina  Pedeguarda
Valmareno,Follina</strong> <br />,"Valmareno, Treviso, Veneto, 31051, Italia","{'type': 'Point', 'coordinates': [12.1260641, 45.9690276]}",Follina  Valmareno
Fonte Alto,Fonte</strong> <br />,"Fonte Alto, Treviso, Veneto, 31017, Italia","{'type': 'Point', 'coordinates': [11.8645936, 45.8004954]}",Fonte  Fonte Alto
Cusignana,Giavera del Montello</strong> <br />,"Cusignana, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [12.1767637, 45.7871391]}",Giavera del Montello  Cusignana
San Rocco,Giavera del Montello</strong> <br />,"Via San Rocco, San Rocco di Cusignana, Giavera del Montello, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [12.192951, 45.7708597]}",Giavera del Montello  San Rocco
Giavera del Montello,Giavera del Montello </strong> <br />,"Giavera del Montello, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [12.1695666, 45.7939742]}",Giavera del Montello   Giavera del Montello
Santi Angeli,Giavera del Montello </strong> <br />,"Santi Angeli, Giavera del Montello, Treviso, Veneto, 31010, Italia","{'type': 'Point', 'coordinates': [12.1404846, 45.8321314]}",Giavera del Montello   Santi Angeli
Capoluogo,Istrana</strong> <br />,"Istrana, Treviso, Veneto, 31036, Italia","{'type': 'Point', 'coordinates': [12.0997937, 45.6786162]}",Istrana
Ospedaletto,Istrana</strong> <br />,"Cimitero di Ospedaletto, Villanova di Istrana, Istrana, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [12.07813749402359, 45.66061515]}",Istrana  Ospedaletto
Pezzan,Istrana</strong> <br />,"Pezzan, Treviso, Veneto, 31036, Italia","{'type': 'Point', 'coordinates': [12.0972298, 45.6932587]}",Istrana  Pezzan
Villanova,Istrana</strong> <br />,"Istrana, Via Europa, Villanova di Istrana, Istrana, Treviso, Veneto, 31036, Italia","{'type': 'Point', 'coordinates': [12.1027848, 45.6765159]}",Istrana  Villanova
Bessica,Loria</strong> <br />,"Bessica, Treviso, Veneto, 31037, Italia","{'type': 'Point', 'coordinates': [11.8421634, 45.7350516]}",Loria  Bessica
Castione,Loria</strong> <br />,"Castione, Treviso, Veneto, 31037, Italia","{'type': 'Point', 'coordinates': [11.8313586, 45.6957334]}",Loria  Castione
Capoluogo,Loria</strong> <br />,"Loria, Treviso, Veneto, 31037, Italia","{'type': 'Point', 'coordinates': [11.8655848, 45.7284237]}",Loria
Ramon,Loria</strong> <br />,"Ramon, Treviso, Veneto, 31037, Italia","{'type': 'Point', 'coordinates': [11.8653572, 45.7131855]}",Loria  Ramon
Coste,Maser</strong> <br />,"Maser, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9724872, 45.807541]}",Maser  Coste
Madonna della Salute,Maser</strong> <br />,"Madonna della Salute, Maser, Treviso, Veneto, 31031, Italia","{'type': 'Point', 'coordinates': [11.9691829, 45.778464]}",Maser  Madonna della Salute
Capoluogo,Maser</strong> <br />,"Maser, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9724872, 45.807541]}",Maser
Candelù,Maserada sul Piave</strong> <br />,"Candelù, Maserada sul Piave, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [12.3721403, 45.7364337]}",Maserada sul Piave  Candelù
Capoluogo,Maserada sul Piave</strong> <br />,"Maserada sul Piave, Treviso, Veneto, 31052, Italia","{'type': 'Point', 'coordinates': [12.3193327, 45.7494106]}",Maserada sul Piave
Varago,Maserada sul Piave</strong> <br />,"Varago, Treviso, Veneto, 31052, Italia","{'type': 'Point', 'coordinates': [12.3097882, 45.737015]}",Maserada sul Piave  Varago
Campea,Miane</strong> <br />,"Campea, Miane, Treviso, Veneto, 31051, Italia","{'type': 'Point', 'coordinates': [12.1072711, 45.9303183]}",Miane  Campea
Colmellere,Miane</strong> <br />,"Via Colmellere, Vergoman, Miane, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [12.0661493, 45.9285177]}",Miane  Colmellere
Combai,Miane</strong> <br />,"Combài, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [12.0720073, 45.9301218]}",Miane  Combai
Capoluogo,Miane</strong> <br />,"Miane, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [12.0938559, 45.9443206]}",Miane
Premaor,Miane</strong> <br />,"Premaor, Miane, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [12.127052900944992, 45.9417148]}",Miane  Premaor
Forner,Monfumo</strong> <br />,"Forner di Monfumo, Monfumo, Treviso, Veneto, 31034, Italia","{'type': 'Point', 'coordinates': [11.9195275, 45.8389405]}",Monfumo  Forner
Capoluogo,Monfumo</strong> <br />,"Monfumo, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9211182, 45.8303733]}",Monfumo
Biadene,Montebelluna</strong> <br />,"Biadene, Montebelluna, Treviso, Veneto, 31044, Italia","{'type': 'Point', 'coordinates': [12.053672, 45.7882205]}",Montebelluna  Biadene
Busta,Montebelluna</strong> <br />,"Busta, Montebelluna, Treviso, Veneto, 31030, Italia","{'type': 'Point', 'coordinates': [12.0013684, 45.7467989]}",Montebelluna  Busta
Caonada,Montebelluna</strong> <br />,"Caonada, Montebelluna, Treviso, Veneto, 31044, Italia","{'type': 'Point', 'coordinates': [12.0707702, 45.7825152]}",Montebelluna  Caonada
Centro,Montebelluna</strong> <br />,"Centro, Posmon, Montebelluna, Treviso, Veneto, 31044, Italia","{'type': 'Point', 'coordinates': [12.0442772, 45.774103]}",Montebelluna  Centro
